CustomerID,FirstPurchase,LastPurchase,Orders,Revenue,Quantity,Recency,Frequency,Monetary,Status,Customer_Lifetime_Value
12364,2011-08-19 15:24:00,2011-12-02 10:22:00,4,1313.1,1506,8,4,1313.1,Active,1313.1
12365,2011-02-21 13:51:00,2011-02-21 14:04:00,2,641.38,174,291,2,641.38,Churned,641.38
12367,2011-12-05 16:48:00,2011-12-05 16:48:00,1,168.9,173,4,1,168.9,Active,168.9
12370,2010-12-14 12:58:00,2011-10-19 14:51:00,4,3545.69,2353,51,4,3545.69,At Risk,3545.69
12371,2011-10-11 10:43:00,2011-10-26 10:16:00,2,1887.96,591,45,2,1887.96,At Risk,1887.96
12372,2011-02-16 12:46:00,2011-09-29 12:12:00,3,1298.04,794,72,3,1298.04,At Risk,1298.04
12373,2011-02-01 13:10:00,2011-02-01 13:10:00,1,364.6,197,311,1,364.6,Churned,364.6
12374,2011-11-14 15:37:00,2011-11-14 15:37:00,1,742.9300000000001,342,25,1,742.9300000000001,Active,742.9300000000001
12375,2011-09-02 14:23:00,2011-11-29 10:36:00,2,457.5,178,11,2,457.5,Active,457.5
12377,2010-12-20 09:37:00,2011-01-28 15:45:00,2,1628.1200000000001,944,315,2,1628.1200000000001,Churned,1628.1200000000001
12378,2011-08-02 10:34:00,2011-08-02 10:34:00,1,4008.62,2529,130,1,4008.62,Churned,4008.62
12379,2011-06-22 16:32:00,2011-09-19 10:09:00,2,852.24,407,82,2,852.24,At Risk,852.24
12380,2011-06-07 09:49:00,2011-11-18 11:27:00,4,2724.81,1127,22,4,2724.81,Active,2724.81
12381,2011-08-12 09:57:00,2011-12-05 12:44:00,5,1845.31,808,5,5,1845.31,Active,1845.31
12383,2010-12-22 14:28:00,2011-06-08 08:02:00,5,1850.56,1532,185,5,1850.56,Churned,1850.56
12384,2011-08-10 11:23:00,2011-11-11 08:39:00,2,585.27,126,29,2,585.27,Active,585.27
12386,2010-12-08 09:53:00,2011-01-06 12:37:00,2,401.9,354,338,2,401.9,Churned,401.9
12388,2011-01-17 11:12:00,2011-11-24 12:30:00,6,2780.6600000000003,1462,16,6,2780.6600000000003,Active,2780.6600000000003
12390,2011-09-21 09:33:00,2011-09-21 09:33:00,1,549.84,353,80,1,549.84,At Risk,549.84
12391,2011-11-18 12:07:00,2011-11-18 12:07:00,1,460.89,300,22,1,460.89,Active,460.89
12393,2011-01-11 09:47:00,2011-09-28 15:41:00,4,1582.6000000000001,816,72,4,1582.6000000000001,At Risk,1582.6000000000001
12394,2011-05-06 14:01:00,2011-10-07 08:08:00,2,1272.48,819,64,2,1272.48,At Risk,1272.48
12395,2010-12-03 16:35:00,2011-11-20 15:21:00,12,3018.63,2118,19,12,3018.63,Active,3018.63
12397,2011-07-27 14:21:00,2011-11-04 09:52:00,2,2409.9,1263,36,2,2409.9,At Risk,2409.9
12398,2011-10-25 10:27:00,2011-10-25 10:27:00,1,1635.6599999999999,1394,46,1,1635.6599999999999,At Risk,1635.6599999999999
12399,2011-03-23 09:42:00,2011-08-12 13:15:00,4,1108.65,1178,119,4,1108.65,Churned,1108.65
12401,2011-02-09 13:50:00,2011-02-09 13:50:00,1,84.3,11,303,1,84.3,Churned,84.3
12402,2011-01-20 13:49:00,2011-01-20 13:49:00,1,225.60000000000002,94,323,1,225.60000000000002,Churned,225.60000000000002
12403,2011-10-21 10:51:00,2011-10-21 10:51:00,1,427.7,96,50,1,427.7,At Risk,427.7
12405,2011-07-14 08:52:00,2011-07-14 08:52:00,1,1710.39,857,149,1,1710.39,Churned,1710.39
12406,2011-06-09 10:23:00,2011-11-17 19:22:00,2,3415.3,1818,22,2,3415.3,Active,3415.3
12407,2011-03-20 13:21:00,2011-10-21 10:11:00,5,1708.12,1416,50,5,1708.12,At Risk,1708.12
12408,2011-03-24 14:46:00,2011-11-07 12:27:00,5,2888.55,1409,33,5,2888.55,At Risk,2888.55
12409,2011-06-10 12:19:00,2011-09-22 10:38:00,3,11072.67,5551,79,3,11072.67,At Risk,11072.67
12410,2011-02-04 10:38:00,2011-02-04 10:39:00,2,693.33,211,309,2,693.33,Churned,693.33
12412,2011-06-23 13:51:00,2011-09-26 10:16:00,3,1226.88,829,75,3,1226.88,At Risk,1226.88
12413,2011-01-06 16:12:00,2011-10-04 09:00:00,3,758.1,286,67,3,758.1,At Risk,758.1
12414,2011-02-02 14:51:00,2011-05-06 14:51:00,3,562.4100000000001,300,217,3,562.4100000000001,Churned,562.4100000000001
12415,2011-01-06 11:12:00,2011-11-15 14:22:00,21,124914.53,77374,24,21,124914.53,Active,124914.53
12417,2010-12-17 11:51:00,2011-12-06 14:52:00,9,3649.1,1552,3,9,3649.1,Active,3649.1
12418,2011-08-19 11:08:00,2011-08-19 11:08:00,1,668.58,407,113,1,668.58,Churned,668.58
12420,2011-10-07 08:55:00,2011-10-07 08:55:00,1,600.39,345,64,1,600.39,At Risk,600.39
12421,2011-01-24 15:09:00,2011-11-24 09:07:00,4,807.04,484,16,4,807.04,Active,807.04
12422,2011-01-19 09:13:00,2011-09-05 09:48:00,3,803.5600000000001,370,96,3,803.5600000000001,Churned,803.5600000000001
12423,2010-12-21 10:54:00,2011-12-09 10:10:00,8,1859.31,1339,1,8,1859.31,Active,1859.31
12424,2011-06-30 12:06:00,2011-06-30 12:06:00,2,1760.96,740,163,2,1760.96,Churned,1760.96
12425,2011-09-22 17:31:00,2011-09-22 17:31:00,1,777.2,496,78,1,777.2,At Risk,777.2
12426,2011-05-29 12:26:00,2011-05-29 12:26:00,1,582.73,258,195,1,582.73,Churned,582.73
12427,2010-12-03 10:44:00,2011-11-18 08:56:00,3,825.8000000000001,533,22,3,825.8000000000001,Active,825.8000000000001
12428,2011-03-01 09:33:00,2011-11-14 08:22:00,9,7956.46,3536,26,9,7956.46,Active,7956.46
12429,2010-12-09 12:05:00,2011-11-30 17:22:00,4,3750.4,1557,9,4,3750.4,Active,3750.4
12430,2011-10-27 15:09:00,2011-10-27 15:09:00,1,256.4,117,43,1,256.4,At Risk,256.4
12431,2010-12-01 10:03:00,2011-11-04 11:55:00,15,6487.45,2906,36,15,6487.45,At Risk,6487.45
12432,2011-06-20 13:27:00,2011-10-28 11:43:00,5,5059.32,1801,43,5,5059.32,At Risk,5059.32
12433,2010-12-01 13:24:00,2011-12-09 10:02:00,7,13375.87,11071,1,7,13375.87,Active,13375.87
12434,2011-03-24 13:05:00,2011-09-16 12:38:00,2,806.14,394,85,2,806.14,At Risk,806.14
12435,2011-03-17 07:40:00,2011-09-21 09:06:00,2,7829.89,2055,80,2,7829.89,At Risk,7829.89
12436,2011-09-01 12:09:00,2011-09-01 12:09:00,1,509.01,211,100,1,509.01,Churned,509.01
12437,2011-01-12 14:13:00,2011-12-08 11:35:00,18,4951.41,2922,2,18,4951.41,Active,4951.41
12438,2011-07-22 13:29:00,2011-11-25 13:28:00,2,2906.85,1180,14,2,2906.85,Active,2906.85
12441,2010-12-08 10:45:00,2010-12-08 10:45:00,1,173.55,121,367,1,173.55,Churned,173.55
12442,2011-12-06 14:22:00,2011-12-06 14:22:00,1,172.06,182,3,1,172.06,Active,172.06
12444,2011-06-21 14:00:00,2011-11-18 13:23:00,5,5005.46,1153,21,5,5005.46,Active,5005.46
12445,2011-11-17 18:43:00,2011-11-17 18:43:00,1,133.4,62,22,1,133.4,Active,133.4
12446,2011-10-13 12:50:00,2011-10-13 12:50:00,1,1002.3100000000001,351,58,1,1002.3100000000001,At Risk,1002.3100000000001
12447,2011-04-10 13:25:00,2011-04-10 13:25:00,1,476.49,190,243,1,476.49,Churned,476.49
12448,2011-10-26 13:46:00,2011-10-26 13:46:00,1,449.45,243,44,1,449.45,At Risk,449.45
12449,2011-06-05 15:37:00,2011-11-17 13:46:00,4,4067.29,1553,22,4,4067.29,Active,4067.29
12450,2011-06-19 14:36:00,2011-07-06 14:41:00,2,197.88,128,156,2,197.88,Churned,197.88
12451,2011-01-19 09:05:00,2011-11-29 08:40:00,5,9035.52,6575,11,5,9035.52,Active,9035.52
12452,2011-11-23 08:05:00,2011-11-23 10:28:00,2,430.57000000000005,185,17,2,430.57000000000005,Active,430.57000000000005
12453,2011-07-28 14:08:00,2011-07-28 14:08:00,1,707.09,473,134,1,707.09,Churned,707.09
12454,2011-10-14 17:13:00,2011-10-14 17:13:00,1,3528.34,1006,56,1,3528.34,At Risk,3528.34
12455,2011-02-16 09:56:00,2011-09-27 15:31:00,6,2466.86,2089,73,6,2466.86,At Risk,2466.86
12456,2011-03-30 09:12:00,2011-10-26 14:41:00,3,3181.04,1633,44,3,3181.04,At Risk,3181.04
12457,2011-04-14 18:57:00,2011-10-04 13:13:00,7,2363.23,843,66,7,2363.23,At Risk,2363.23
12458,2011-02-28 10:55:00,2011-09-29 15:25:00,2,947.4,506,71,2,947.4,At Risk,947.4
12461,2011-07-08 10:23:00,2011-09-06 16:57:00,2,826.88,287,94,2,826.88,Churned,826.88
12462,2011-02-09 14:44:00,2011-11-21 09:11:00,2,1189.59,536,19,2,1189.59,Active,1189.59
12463,2011-04-12 12:47:00,2011-10-17 13:44:00,4,1344.78,776,53,4,1344.78,At Risk,1344.78
12464,2011-02-03 13:30:00,2011-11-29 13:33:00,8,1212.05,112,10,8,1212.05,Active,1212.05
12465,2011-06-23 13:37:00,2011-11-22 16:34:00,2,742.19,479,17,2,742.19,Active,742.19
12468,2011-01-27 13:29:00,2011-06-05 11:36:00,2,729.54,366,188,2,729.54,Churned,729.54
12471,2010-12-10 09:35:00,2011-12-07 15:43:00,30,19824.05,8212,2,30,19824.05,Active,19824.05
12472,2010-12-05 14:19:00,2011-11-07 14:01:00,7,6572.11,4148,32,7,6572.11,At Risk,6572.11
12473,2011-06-01 10:15:00,2011-11-10 13:46:00,5,3938.55,2439,29,5,3938.55,Active,3938.55
12474,2011-01-14 10:06:00,2011-11-22 14:39:00,18,7375.79,4847,17,18,7375.79,Active,7375.79
12475,2011-10-17 10:10:00,2011-10-17 10:10:00,1,723.38,535,54,1,723.38,At Risk,723.38
12476,2010-12-13 14:39:00,2011-11-24 12:40:00,11,6816.42,2408,16,11,6816.42,Active,6816.42
12477,2011-02-11 12:45:00,2011-11-17 09:51:00,6,13219.74,3653,23,6,13219.74,Active,13219.74
12478,2011-12-06 09:56:00,2011-12-06 09:56:00,1,680.99,236,4,1,680.99,Active,680.99
12479,2011-11-28 13:26:00,2011-11-28 13:26:00,1,527.2,385,11,1,527.2,Active,527.2
12480,2011-01-07 15:27:00,2011-11-11 14:52:00,4,3281.63,1707,28,4,3281.63,Active,3281.63
12481,2010-12-09 10:13:00,2011-11-17 08:29:00,10,5596.32,3304,23,10,5596.32,Active,5596.32
12483,2011-01-04 14:20:00,2011-11-22 17:02:00,8,2484.98,1110,17,8,2484.98,Active,2484.98
12484,2011-01-07 14:04:00,2011-11-07 11:37:00,6,4541.72,2191,33,6,4541.72,At Risk,4541.72
12488,2011-09-25 10:34:00,2011-11-30 08:50:00,3,1298.66,529,10,3,1298.66,Active,1298.66
12489,2011-01-07 13:13:00,2011-01-07 13:13:00,1,334.93,105,336,1,334.93,Churned,334.93
12490,2011-01-14 09:13:00,2011-12-04 16:07:00,10,5417.93,3064,5,10,5417.93,Active,5417.93
12491,2011-11-01 12:18:00,2011-11-01 12:18:00,1,460.40000000000003,260,39,1,460.40000000000003,At Risk,460.40000000000003
12492,2011-08-26 14:51:00,2011-10-07 15:15:00,2,263.21000000000004,192,63,2,263.21000000000004,At Risk,263.21000000000004
12493,2011-05-26 14:53:00,2011-06-27 10:17:00,2,433.74,207,166,2,433.74,Churned,433.74
12494,2010-12-09 11:31:00,2011-11-24 09:34:00,7,1246.1,707,16,7,1246.1,Active,1246.1
12497,2011-09-19 12:29:00,2011-09-19 12:29:00,1,1043.1,1236,82,1,1043.1,At Risk,1043.1
12498,2011-10-13 09:30:00,2011-11-18 12:53:00,3,403.70000000000005,159,21,3,403.70000000000005,Active,403.70000000000005
12500,2011-01-10 09:48:00,2011-11-16 16:20:00,11,4257.82,2678,23,11,4257.82,Active,4257.82
12501,2011-01-07 12:28:00,2011-01-07 12:28:00,1,2169.39,1783,337,1,2169.39,Churned,2169.39
12502,2011-02-03 10:41:00,2011-09-05 11:52:00,5,3723.87,820,96,5,3723.87,Churned,3723.87
12504,2011-11-09 14:56:00,2011-11-21 16:02:00,2,482.04999999999995,90,18,2,482.04999999999995,Active,482.04999999999995
12506,2011-04-21 08:54:00,2011-04-21 08:54:00,1,73.5,23,233,1,73.5,Churned,73.5
12507,2011-02-14 09:24:00,2011-07-28 17:09:00,3,1304.81,894,134,3,1304.81,Churned,1304.81
12508,2011-11-10 16:27:00,2011-11-13 15:37:00,2,398.27,272,26,2,398.27,Active,398.27
12509,2011-02-28 14:45:00,2011-02-28 14:45:00,1,176.5,55,284,1,176.5,Churned,176.5
12510,2011-01-18 14:04:00,2011-07-20 10:15:00,2,982.5699999999999,353,143,2,982.5699999999999,Churned,982.5699999999999
12512,2011-10-04 14:53:00,2011-10-04 14:55:00,2,138.03,99,66,2,138.03,At Risk,138.03
12513,2011-08-19 10:51:00,2011-08-19 10:51:00,1,612.29,462,113,1,612.29,Churned,612.29
12514,2011-03-17 16:38:00,2011-03-17 16:38:00,1,1017.6800000000001,440,267,1,1017.6800000000001,Churned,1017.6800000000001
12515,2010-12-21 15:43:00,2010-12-21 15:43:00,1,383.7,131,353,1,383.7,Churned,383.7
12516,2011-06-12 11:37:00,2011-09-23 09:13:00,2,1312.06,875,78,2,1312.06,At Risk,1312.06
12517,2011-06-02 15:13:00,2011-11-11 14:04:00,5,2502.84,1371,28,5,2502.84,Active,2502.84
12518,2011-08-21 13:18:00,2011-12-09 10:13:00,5,2056.89,1318,1,5,2056.89,Active,2056.89
12519,2011-10-07 09:26:00,2011-10-07 09:26:00,1,340.84000000000003,183,64,1,340.84000000000003,At Risk,340.84000000000003
12520,2011-03-11 11:35:00,2011-09-21 15:23:00,5,2634.26,1439,79,5,2634.26,At Risk,2634.26
12521,2011-07-20 10:51:00,2011-07-20 10:51:00,1,599.68,309,143,1,599.68,Churned,599.68
12522,2011-10-19 14:41:00,2011-10-31 15:30:00,2,192.72,194,39,2,192.72,At Risk,192.72
12523,2011-01-12 09:43:00,2011-11-20 12:55:00,11,1789.77,865,19,11,1789.77,Active,1789.77
12524,2011-01-10 10:35:00,2011-11-30 15:31:00,8,4485.72,3699,9,8,4485.72,Active,4485.72
12526,2011-09-06 14:19:00,2011-12-09 12:09:00,3,1316.66,632,1,3,1316.66,Active,1316.66
12527,2011-01-18 12:05:00,2011-09-19 11:55:00,3,348.71000000000004,234,82,3,348.71000000000004,At Risk,348.71000000000004
12528,2011-01-31 09:05:00,2011-11-30 14:40:00,6,1933.48,756,9,6,1933.48,Active,1933.48
12530,2011-01-07 10:04:00,2011-10-11 12:34:00,4,1662.28,913,60,4,1662.28,At Risk,1662.28
12531,2011-11-25 11:12:00,2011-11-25 11:12:00,1,125.22,45,15,1,125.22,Active,125.22
12532,2011-11-09 13:47:00,2011-11-09 13:47:00,1,349.83000000000004,153,30,1,349.83000000000004,Active,349.83000000000004
12534,2011-08-01 10:26:00,2011-08-01 10:26:00,1,1089.18,651,131,1,1089.18,Churned,1089.18
12535,2011-06-06 12:47:00,2011-09-09 08:48:00,2,716.35,219,92,2,716.35,Churned,716.35
12536,2011-10-11 14:52:00,2011-10-27 14:20:00,3,12601.830000000002,2803,43,3,12601.830000000002,At Risk,12601.830000000002
12538,2011-11-10 17:16:00,2011-11-10 17:16:00,1,363.95,191,29,1,363.95,Active,363.95
12539,2011-01-10 09:11:00,2011-11-17 13:30:00,4,5568.35,2067,22,4,5568.35,Active,5568.35
12540,2010-12-13 09:39:00,2011-11-20 11:31:00,17,13400.24,6685,20,17,13400.24,Active,13400.24
12541,2011-03-04 09:32:00,2011-11-10 10:40:00,3,981.18,680,30,3,981.18,Active,981.18
12544,2011-11-03 16:15:00,2011-11-03 16:15:00,1,372.7,136,36,1,372.7,At Risk,372.7
12545,2011-03-25 12:04:00,2011-09-25 13:39:00,2,1000.39,523,75,2,1000.39,At Risk,1000.39
12546,2011-09-23 09:44:00,2011-10-24 12:09:00,2,1161.5,633,47,2,1161.5,At Risk,1161.5
12547,2011-03-04 12:46:00,2011-05-26 12:38:00,2,207.8,134,198,2,207.8,Churned,207.8
12548,2011-06-26 15:35:00,2011-06-26 15:35:00,1,95.19999999999999,49,166,1,95.19999999999999,Churned,95.19999999999999
12550,2011-09-21 14:35:00,2011-09-21 14:35:00,1,964.83,569,79,1,964.83,At Risk,964.83
12551,2010-12-17 11:23:00,2010-12-17 11:23:00,1,168.0,100,358,1,168.0,Churned,168.0
12552,2011-10-31 12:11:00,2011-11-01 10:02:00,2,437.82,88,39,2,437.82,At Risk,437.82
12553,2011-01-14 10:42:00,2011-12-01 16:38:00,10,3692.28,1965,8,10,3692.28,Active,3692.28
12556,2011-07-11 13:35:00,2011-10-20 13:06:00,2,603.71,358,50,2,603.71,At Risk,603.71
12557,2010-12-03 12:20:00,2011-11-23 16:59:00,5,11990.960000000001,4384,16,5,11990.960000000001,Active,11990.960000000001
12558,2011-12-02 10:41:00,2011-12-02 10:41:00,1,269.96,196,8,1,269.96,Active,269.96
12559,2011-01-24 10:12:00,2011-02-02 09:49:00,2,561.71,283,311,2,561.71,Churned,561.71
12560,2011-07-19 15:55:00,2011-12-04 13:54:00,3,2134.01,1110,5,3,2134.01,Active,2134.01
12561,2011-02-10 11:39:00,2011-02-10 11:39:00,1,238.85,177,303,1,238.85,Churned,238.85
12562,2011-05-25 12:44:00,2011-12-01 17:20:00,7,3781.7400000000002,1779,8,7,3781.7400000000002,Active,3781.7400000000002
12564,2011-03-23 14:55:00,2011-03-23 14:55:00,1,456.90000000000003,133,261,1,456.90000000000003,Churned,456.90000000000003
12565,2011-02-24 10:34:00,2011-02-24 10:34:00,1,145.92000000000002,80,289,1,145.92000000000002,Churned,145.92000000000002
12566,2011-09-14 14:30:00,2011-09-14 14:30:00,1,351.65,265,86,1,351.65,At Risk,351.65
12567,2010-12-05 11:57:00,2011-11-17 11:02:00,10,9401.28,4305,23,10,9401.28,Active,9401.28
12569,2011-04-01 13:47:00,2011-12-07 16:24:00,32,4124.6900000000005,1801,2,32,4124.6900000000005,Active,4124.6900000000005
12571,2011-08-10 12:35:00,2011-10-31 10:19:00,2,519.61,523,40,2,519.61,At Risk,519.61
12572,2011-10-19 08:20:00,2011-12-01 09:20:00,2,1020.4200000000001,452,9,2,1020.4200000000001,Active,1020.4200000000001
12573,2011-04-26 15:52:00,2011-04-26 15:52:00,1,160.54000000000002,84,227,1,160.54000000000002,Churned,160.54000000000002
12574,2011-01-28 09:20:00,2011-01-28 09:20:00,1,218.45000000000002,61,316,1,218.45000000000002,Churned,218.45000000000002
12576,2011-02-08 11:31:00,2011-11-04 10:11:00,5,1315.83,967,36,5,1315.83,At Risk,1315.83
12577,2010-12-15 16:21:00,2011-11-04 13:24:00,3,657.8,472,35,3,657.8,At Risk,657.8
12578,2011-01-13 15:34:00,2011-11-18 13:30:00,2,2794.51,1196,21,2,2794.51,Active,2794.51
12579,2011-09-22 17:15:00,2011-09-22 17:15:00,1,440.42,285,78,1,440.42,At Risk,440.42
12580,2011-04-07 10:24:00,2011-04-07 10:24:00,1,415.7,238,247,1,415.7,Churned,415.7
12581,2011-10-31 08:56:00,2011-10-31 08:56:00,1,197.71,161,40,1,197.71,At Risk,197.71
12582,2011-02-24 11:42:00,2011-04-15 08:45:00,2,511.36,300,239,2,511.36,Churned,511.36
12583,2010-12-01 08:45:00,2011-12-07 08:07:00,15,7281.38,5060,3,15,7281.38,Active,7281.38
12584,2011-03-04 15:15:00,2011-12-06 09:35:00,9,2338.15,416,4,9,2338.15,Active,2338.15
12585,2010-12-23 12:58:00,2011-04-19 13:39:00,2,2040.1,1279,234,2,2040.1,Churned,2040.1
12586,2011-11-22 16:24:00,2011-11-22 16:24:00,1,196.94000000000003,79,17,1,196.94000000000003,Active,196.94000000000003
12587,2011-12-02 12:47:00,2011-12-02 12:47:00,1,144.0,51,8,1,144.0,Active,144.0
12588,2011-10-31 15:01:00,2011-10-31 15:01:00,1,214.89999999999998,53,39,1,214.89999999999998,At Risk,214.89999999999998
12589,2011-07-18 12:05:00,2011-11-11 10:19:00,2,646.68,306,29,2,646.68,Active,646.68
12590,2011-05-12 14:46:00,2011-05-12 14:52:00,2,9864.26,4283,211,2,9864.26,Churned,9864.26
12591,2011-01-26 14:35:00,2011-01-26 14:35:00,1,452.84999999999997,228,317,1,452.84999999999997,Churned,452.84999999999997
12592,2011-05-10 13:44:00,2011-09-08 15:04:00,2,437.6,290,92,2,437.6,Churned,437.6
12593,2011-05-05 09:29:00,2011-08-23 12:43:00,3,418.1,206,109,3,418.1,Churned,418.1
12594,2011-01-21 09:52:00,2011-11-02 12:20:00,10,3338.2200000000003,1777,38,10,3338.2200000000003,At Risk,3338.2200000000003
12596,2011-04-11 13:22:00,2011-10-19 13:02:00,2,618.27,474,51,2,618.27,At Risk,618.27
12597,2011-03-16 14:00:00,2011-11-20 13:33:00,4,3811.22,2236,19,4,3811.22,Active,3811.22
12598,2011-02-28 11:58:00,2011-11-30 12:18:00,8,3023.08,1964,10,8,3023.08,Active,3023.08
12599,2011-02-08 13:28:00,2011-11-10 13:34:00,7,1032.58,956,29,7,1032.58,Active,1032.58
12600,2010-12-03 12:57:00,2011-11-11 10:29:00,10,2599.04,774,29,10,2599.04,Active,2599.04
12601,2011-01-11 10:38:00,2011-06-03 10:17:00,5,577.0600000000001,245,190,5,577.0600000000001,Churned,577.0600000000001
12602,2011-10-12 11:22:00,2011-10-12 11:22:00,1,153.12,162,59,1,153.12,At Risk,153.12
12603,2011-11-18 10:42:00,2011-11-18 10:42:00,1,739.1999999999999,63,22,1,739.1999999999999,Active,739.1999999999999
12604,2011-03-23 12:06:00,2011-09-21 14:08:00,2,254.18,201,79,2,254.18,At Risk,254.18
12607,2011-10-10 16:06:00,2011-10-10 16:06:00,1,1579.51,1228,60,1,1579.51,At Risk,1579.51
12609,2011-01-25 15:13:00,2011-09-22 16:34:00,3,1126.85,648,78,3,1126.85,At Risk,1126.85
12610,2011-08-05 13:52:00,2011-11-17 09:34:00,5,2099.54,1049,23,5,2099.54,Active,2099.54
12611,2011-10-18 13:12:00,2011-10-18 13:12:00,1,1193.32,846,52,1,1193.32,At Risk,1193.32
12612,2011-09-26 15:35:00,2011-09-26 15:35:00,1,704.04,262,74,1,704.04,At Risk,704.04
12613,2011-03-22 15:42:00,2011-10-13 14:59:00,5,3344.38,1644,57,5,3344.38,At Risk,3344.38
12614,2011-03-07 10:22:00,2011-03-07 10:22:00,1,315.6,76,278,1,315.6,Churned,315.6
12615,2011-06-24 13:35:00,2011-12-07 15:02:00,4,2291.19,1376,2,4,2291.19,Active,2291.19
12616,2011-02-15 14:17:00,2011-09-05 15:17:00,2,713.3,284,95,2,713.3,Churned,713.3
12617,2011-11-10 14:39:00,2011-11-10 14:39:00,1,355.53000000000003,213,29,1,355.53000000000003,Active,355.53000000000003
12618,2011-11-18 11:10:00,2011-11-18 11:10:00,1,177.31,96,22,1,177.31,Active,177.31
12619,2011-03-31 13:10:00,2011-11-23 14:52:00,9,3641.24,3378,16,9,3641.24,Active,3641.24
12620,2011-05-19 12:10:00,2011-11-25 10:20:00,3,1339.41,1181,15,3,1339.41,Active,1339.41
12621,2010-12-09 10:16:00,2011-12-08 11:25:00,20,13689.67,7440,2,20,13689.67,Active,13689.67
12622,2011-04-21 16:39:00,2011-04-21 16:39:00,1,180.1,69,232,1,180.1,Churned,180.1
12623,2011-03-08 13:50:00,2011-03-08 13:50:00,1,305.1,191,276,1,305.1,Churned,305.1
12624,2011-06-15 12:34:00,2011-08-25 15:04:00,2,641.13,355,106,2,641.13,Churned,641.13
12625,2011-01-24 13:27:00,2011-05-12 09:54:00,2,2683.82,1612,212,2,2683.82,Churned,2683.82
12626,2011-01-17 11:01:00,2011-11-16 16:06:00,9,6620.4800000000005,3453,23,9,6620.4800000000005,Active,6620.4800000000005
12627,2011-07-22 13:59:00,2011-11-29 12:07:00,7,4478.53,2752,11,7,4478.53,Active,4478.53
12628,2011-10-06 09:28:00,2011-12-05 13:15:00,3,786.46,448,4,3,786.46,Active,786.46
12630,2011-10-27 10:41:00,2011-11-30 10:48:00,2,1270.88,548,10,2,1270.88,Active,1270.88
12631,2011-10-13 13:53:00,2011-10-13 13:53:00,1,640.5,236,57,1,640.5,At Risk,640.5
12633,2011-02-25 08:44:00,2011-10-12 11:40:00,4,2163.98,1162,59,4,2163.98,At Risk,2163.98
12635,2011-07-08 08:43:00,2011-09-11 11:04:00,2,1689.18,1172,90,2,1689.18,At Risk,1689.18
12637,2011-01-20 10:47:00,2011-10-03 13:46:00,8,6021.9,3002,67,8,6021.9,At Risk,6021.9
12638,2011-11-06 13:11:00,2011-11-06 13:11:00,1,671.69,577,33,1,671.69,At Risk,671.69
12639,2011-04-15 12:48:00,2011-04-15 12:48:00,1,486.1,201,239,1,486.1,Churned,486.1
12640,2011-09-19 12:01:00,2011-11-16 11:52:00,3,1174.58,311,24,3,1174.58,Active,1174.58
12641,2011-08-16 13:26:00,2011-08-16 13:26:00,1,185.9,72,115,1,185.9,Churned,185.9
12642,2011-08-24 09:23:00,2011-11-14 15:03:00,3,1013.26,552,25,3,1013.26,Active,1013.26
12643,2011-01-11 11:48:00,2011-08-03 12:56:00,6,3344.64,1808,128,6,3344.64,Churned,3344.64
12644,2011-08-02 10:33:00,2011-08-02 10:33:00,1,477.90999999999997,325,130,1,477.90999999999997,Churned,477.90999999999997
